run_id,timestamp,representation_id,method,parameters,seed,k,sample_rule,n_train,n_val,silhouette_train,davies_bouldin_train,calinski_harabasz_train,silhouette_val,davies_bouldin_val,calinski_harabasz_val,runtime_s,notes
0c110cdf,2026-04-28T19:31:05+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17344,5,train_20pct_seed=17341,23842,95368,0.1248,2.3729,2209.63,0.1188,2.3744,8805.96,0.031,AP extraction shared across seeds; runtime includes AP only on first seed
347ce190,2026-04-28T19:31:05+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17345,5,train_20pct_seed=17341,23842,95368,0.1224,2.3729,2209.63,0.1226,2.3744,8805.96,0.03,AP extraction shared across seeds; runtime includes AP only on first seed
e72c34c6,2026-04-28T19:31:06+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17346,5,train_20pct_seed=17341,23842,95368,0.1201,2.3729,2209.63,0.1187,2.3744,8805.96,0.029,AP extraction shared across seeds; runtime includes AP only on first seed
0a4410de,2026-04-28T19:31:06+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17347,5,train_20pct_seed=17341,23842,95368,0.1218,2.3729,2209.63,0.1194,2.3744,8805.96,0.03,AP extraction shared across seeds; runtime includes AP only on first seed
5f92f463,2026-04-28T19:31:06+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17348,5,train_20pct_seed=17341,23842,95368,0.1197,2.3729,2209.63,0.1182,2.3744,8805.96,0.029,AP extraction shared across seeds; runtime includes AP only on first seed
656cb8dd,2026-04-28T19:31:07+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17349,5,train_20pct_seed=17341,23842,95368,0.1202,2.3729,2209.63,0.117,2.3744,8805.96,0.03,AP extraction shared across seeds; runtime includes AP only on first seed
26c66c9b,2026-04-28T19:31:07+00:00,rep_v1_baseline,ikmeans,"{""min_cluster_size"": 119, ""n_init"": 1, ""init_source"": ""AP_top_k_by_scatter_pct"", ""n_ap_retained"": 8}",17350,5,train_20pct_seed=17341,23842,95368,0.1204,2.3729,2209.63,0.1224,2.3744,8805.96,0.029,AP extraction shared across seeds; runtime includes AP only on first seed
e4a29c64,2026-04-30T11:07:55+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17341,2,train_20pct_seed=17341,23842,95368,0.0786,3.3915,1621.49,0.075,3.3957,6295.47,0.175,
35233e3b,2026-04-30T11:07:56+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17342,2,train_20pct_seed=17341,23842,95368,0.0765,3.3962,1621.5,0.071,3.399,6296.43,0.167,
d1254331,2026-04-30T11:07:57+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17343,2,train_20pct_seed=17341,23842,95368,0.0778,3.392,1621.49,0.0774,3.3963,6295.45,0.155,
e8a7c067,2026-04-30T11:07:59+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17344,2,train_20pct_seed=17341,23842,95368,0.0751,3.4037,1621.34,0.0783,3.4063,6297.45,0.178,
0de59f75,2026-04-30T11:08:00+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17345,2,train_20pct_seed=17341,23842,95368,0.0776,3.3961,1621.5,0.0763,3.399,6296.43,0.175,
45f032f5,2026-04-30T11:08:01+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17346,2,train_20pct_seed=17341,23842,95368,0.0766,3.3915,1621.49,0.0772,3.3957,6295.47,0.128,
f241e286,2026-04-30T11:08:02+00:00,rep_v1_baseline,kmeans,"{""init"": ""k-means++"", ""n_init"": 10}",17347,2,train_20pct_seed=17341,23842,95368,0.078,3.3915,1621.49,0.08,3.3957,6295.47,0.201,
